record_id,chain,location_text,city,state,latitude,longitude,article_title,article_url,source_domain,source_type,published_utc,discovered_utc,confidence,evidence_snippet,query
3ee6c74becb730bcbf,CVS,,,,,,CVS fights law that could force over 100 stores to close,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc3540fb4d2c8d1b559868e65cd9&url=https%3a%2f%2fwww.aol.com%2ffinance%2fcvs-fights-law-could-force-161300320.html&c=6327375268730961832&mkt=en-us,www.bing.com,bing_rss,2026-04-22T16:59:00+00:00,2026-06-16T21:12:41+00:00,0.37,"CVS fights law that could force over 100 stores to close A sweeping new health care law is setting up a high-stakes battle over prescription drug pricing, corporate power, and patient access.",CVS closing stores
893ae7be5cfeddd56e,CVS,,,,,,CVS plans to open 60 new stores in 2026 after years of closures,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc3540fb4d2c8d1b559868e65cd9&url=https%3a%2f%2fwww.wkyc.com%2farticle%2fnews%2fnation-world%2fcvs-pharmacy-drugstore-plans-to-open-stores%2f507-1dc4afb1-4a1c-4929-897e-770a6bc9157f&c=8620438414890441792&mkt=en-us,www.bing.com,bing_rss,2026-04-01T07:14:00+00:00,2026-06-16T21:12:41+00:00,0.37,"CVS plans to open 60 new stores in 2026 after years of closures WASHINGTON — CVS Health is planning to grow again in 2026, a notable move after several years of closing stores across the country.",CVS closing stores
cf93b4e756e8ce6e8e,Walgreens,,,,,,"Walgreens to close Chatham store, citing theft and violence",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc3e74ea4870b669b941eebd8e0a&url=https%3a%2f%2fchicago.suntimes.com%2fmoney%2f2026%2f05%2f04%2fwalgreens-close-chatham-store-theft-violence&c=9786869387699307050&mkt=en-us,www.bing.com,bing_rss,2026-05-04T16:37:00+00:00,2026-06-16T21:12:41+00:00,0.49,"Walgreens to close Chatham store, citing theft and violence The Deerfield-based company has closed several South and West side locations over the last year, contributing to a pharmacy desert in the area.",Walgreens store closure location
519a903ee501994a17,Walgreens,,,,,,Walgreens closing Chatham store as officials warn of pharmacy deserts,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc3e74ea4870b669b941eebd8e0a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2fwalgreens-closing-chatham-as-officials-warn-of-pharmacy-deserts%2far-AA24PoKJ&c=11146585358043657096&mkt=en-us,www.bing.com,bing_rss,2026-06-04T15:28:00+00:00,2026-06-16T21:12:41+00:00,0.37,"Walgreens closing Chatham store as officials warn of pharmacy deserts Walgreens is set to close in Chicago's Chatham neighborhood on Thursday, and there's growing concern about where families will get their medications.",Walgreens store closure location
03d131a121534674dc,Walgreens,,,,,,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc3e74ea4870b669b941eebd8e0a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2fwalgreens-to-close-chicago-store-after-losing-over-1m-due-to-rampant-theft-falling-sales%2far-AA22WnEv&c=17942911988166189995&mkt=en-us,www.bing.com,bing_rss,2026-05-11T11:25:00+00:00,2026-06-16T21:12:41+00:00,0.37,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales Walgreens announced plans to close a Chicago South Side store next month, citing elevated theft levels and declining prescription sales as key factors.",Walgreens store closure location
e74f70f57fac3d8566,Walgreens,,,,,,Local pharmacy chain steps in as Midtown Walgreens prepares to close,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc3e74ea4870b669b941eebd8e0a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2flocal-pharmacy-chain-steps-in-as-midtown-walgreens-prepares-to-close%2far-AA25dpGI&c=4811352347859923765&mkt=en-us,www.bing.com,bing_rss,2026-06-09T10:54:00+00:00,2026-06-16T21:12:41+00:00,0.37,"Local pharmacy chain steps in as Midtown Walgreens prepares to close With the Midtown Walgreens at 27th Street and North Avenue set to close on June 23, Hayat Pharmacy is encouraging residents to transfer prescriptions to the local chain.",Walgreens store closure location
5ceb803ea6afc16248,Walgreens,,,,,,Walgreens pharmacy on Cottage Grove in Chatham set to close Thursday,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc3e74ea4870b669b941eebd8e0a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2fwalgreens-pharmacy-on-cottage-grove-in-chatham-set-to-close-thursday%2far-AA24Wdjx&c=10363544050265138416&mkt=en-us,www.bing.com,bing_rss,2026-06-04T19:38:00+00:00,2026-06-16T21:12:41+00:00,0.37,Walgreens pharmacy on Cottage Grove in Chatham set to close Thursday The Walgreens at 86th Street and Cottage Grove Avenue in Chatham is set to close Thursday.,Walgreens store closure location
73fb9b87d843ed1843,Walgreens,,,,,,Walgreens closing numerous stores amid 'challenging' retail environment,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc4341734796b5054a0136a6ffb1&url=https%3a%2f%2fwww.wptv.com%2fbusiness%2fcompany-news%2fwalgreens-closing-numerous-stores-amid-challenging-retail-environment&c=6863907681722574937&mkt=en-us,www.bing.com,bing_rss,2024-06-26T22:44:00+00:00,2026-06-16T21:12:41+00:00,0.37,"Walgreens closing numerous stores amid 'challenging' retail environment Walgreens, one of America's largest pharmacy chains, announced early Thursday plans to close numerous stores across the U.S.",Walgreens closing stores
48a0ccfe8c398b499e,Walgreens,,,,,,Walgreens closing Chatham store on Thursday,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc4341734796b5054a0136a6ffb1&url=https%3a%2f%2fwww.msn.com%2fen-us%2flifestyle%2fother%2fwalgreens-closing-chatham-store-on-thursday%2far-AA24PoKJ&c=16509589848633609248&mkt=en-us,www.bing.com,bing_rss,2026-06-04T03:52:21+00:00,2026-06-16T21:12:41+00:00,0.37,"Walgreens closing Chatham store on Thursday Walgreens is set to close in Chicago's Chatham neighborhood on Thursday, and there's growing concern about where families will get their medications.",Walgreens closing stores
62634b157dc94c3f3b,Walgreens,,,,,,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc4341734796b5054a0136a6ffb1&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2fwalgreens-to-close-chicago-store-after-losing-over-1m-due-to-rampant-theft-falling-sales%2far-AA22WnEv&c=17942911988166189995&mkt=en-us,www.bing.com,bing_rss,2026-05-11T11:25:00+00:00,2026-06-16T21:12:41+00:00,0.37,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales Walgreens announced plans to close a Chicago South Side store next month, citing elevated theft levels and declining prescription sales as key factors.",Walgreens closing stores
924180a81e691a132c,Walgreens,,,,,,"Walgreens to close Chatham store, citing theft and violence",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc4341734796b5054a0136a6ffb1&url=https%3a%2f%2fchicago.suntimes.com%2fmoney%2f2026%2f05%2f04%2fwalgreens-close-chatham-store-theft-violence&c=9786869387699307050&mkt=en-us,www.bing.com,bing_rss,2026-05-04T16:37:00+00:00,2026-06-16T21:12:41+00:00,0.49,"Walgreens to close Chatham store, citing theft and violence The Deerfield-based company has closed several South and West side locations over the last year, contributing to a pharmacy desert in the area.",Walgreens closing stores
409f1c735668f2aebc,Walgreens,,,,,,Retail pharmacy to close St. Louis County store,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc4341734796b5054a0136a6ffb1&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2fretail-pharmacy-to-close-st-louis-county-store%2far-AA25uH41&c=9911094652721756306&mkt=en-us,www.bing.com,bing_rss,2026-06-12T08:47:00+00:00,2026-06-16T21:12:41+00:00,0.49,Retail pharmacy to close St.,Walgreens closing stores
6e87751ea9097ef8b8,Walgreens,,,,,,Local pharmacy chain steps in as Midtown Walgreens prepares to close,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc4341734796b5054a0136a6ffb1&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2flocal-pharmacy-chain-steps-in-as-midtown-walgreens-prepares-to-close%2far-AA25dpGI&c=4811352347859923765&mkt=en-us,www.bing.com,bing_rss,2026-06-09T10:54:00+00:00,2026-06-16T21:12:41+00:00,0.37,"Local pharmacy chain steps in as Midtown Walgreens prepares to close With the Midtown Walgreens at 27th Street and North Avenue set to close on June 23, Hayat Pharmacy is encouraging residents to transfer prescriptions to the local chain.",Walgreens closing stores
f78373093db88f8360,Walgreens,,,,,,Walgreens to close St. Louis County store,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc4341734796b5054a0136a6ffb1&url=https%3a%2f%2fwww.bizjournals.com%2fstlouis%2fnews%2f2026%2f06%2f11%2fst-louis-county-walgreens-store-to-close.html&c=383589223251537787&mkt=en-us,www.bing.com,bing_rss,2026-06-11T15:35:00+00:00,2026-06-16T21:12:41+00:00,0.37,Walgreens to close St.,Walgreens closing stores
45a58a2c5a06619000,Walgreens,,,,,,Local pharmacy chain steps in as Midtown Walgreens prepares to close,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc49a1564b528f1a29c7d3fc982c&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fgeneral%2flocal-pharmacy-chain-steps-in-as-midtown-walgreens-prepares-to-close%2far-AA25dpGI&c=16408955843007296214&mkt=en-us,www.bing.com,bing_rss,2026-06-09T10:41:38+00:00,2026-06-16T21:12:41+00:00,0.37,"Local pharmacy chain steps in as Midtown Walgreens prepares to close With the Midtown Walgreens at 27th Street and North Avenue set to close on June 23, Hayat Pharmacy is encouraging residents to transfer prescriptions to the local chain.",Walgreens pharmacy closed location
79bdb9654e919f6545,Walgreens,,,,,,Walgreens Location To Close In Suffern — Here's When,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc49a1564b528f1a29c7d3fc982c&url=https%3a%2f%2fwww.aol.com%2fnews%2fwalgreens-location-close-suffern-heres-144500786.html&c=3126015903250013896&mkt=en-us,www.bing.com,bing_rss,2026-03-29T17:00:00+00:00,2026-06-16T21:12:41+00:00,0.37,Walgreens Location To Close In Suffern — Here's When A Walgreens location in Rockland County is set to shut its doors in the coming weeks.,Walgreens pharmacy closed location
496971efe4959a3eac,Walgreens,,,,,,Another Lexington pharmacy will close in July. Here's where.,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bc49a1564b528f1a29c7d3fc982c&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fgeneral%2fanother-lexington-pharmacy-will-close-in-july-here-s-where%2far-AA25dBiD&c=12593007643999782074&mkt=en-us,www.bing.com,bing_rss,2026-06-09T14:12:00+00:00,2026-06-16T21:12:41+00:00,0.37,Another Lexington pharmacy will close in July.,Walgreens pharmacy closed location
34a77b88b506ac1fe2,CVS,,,,,,CVS fights law that could force over 100 stores to close,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd62dca941c8a3dc898013cd8305&url=https%3a%2f%2fwww.aol.com%2ffinance%2fcvs-fights-law-could-force-161300320.html&c=6327375268730961832&mkt=en-us,www.bing.com,bing_rss,2026-04-22T16:59:00+00:00,2026-06-16T21:17:54+00:00,0.61,"CVS fights law that could force over 100 stores to close A sweeping new health care law is setting up a high-stakes battle over prescription drug pricing, corporate power, and patient access.",CVS closing stores
24b85ef953aff5819d,CVS,,,,,,CVS plans to open 60 new stores in 2026 after years of closures,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd62dca941c8a3dc898013cd8305&url=https%3a%2f%2fwww.wkyc.com%2farticle%2fnews%2fnation-world%2fcvs-pharmacy-drugstore-plans-to-open-stores%2f507-1dc4afb1-4a1c-4929-897e-770a6bc9157f&c=8620438414890441792&mkt=en-us,www.bing.com,bing_rss,2026-04-01T07:14:00+00:00,2026-06-16T21:17:54+00:00,0.37,"CVS plans to open 60 new stores in 2026 after years of closures WASHINGTON — CVS Health is planning to grow again in 2026, a notable move after several years of closing stores across the country.",CVS closing stores
7a705915d67e3f409b,Walgreens,,,,,,Map Shows Where Walgreens Is Closing Locations,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.newsweek.com%2fmap-walgreens-pharmacy-closures-2111781&c=10891888385040947924&mkt=en-us,www.bing.com,bing_rss,2025-08-11T08:05:00+00:00,2026-06-16T21:17:54+00:00,0.90,"News Reporter Walgreens is pressing on with its ""Footprint Optimization Program"" and shuttering hundreds of locations in an effort to streamline operations and prioritize its core retail pharmacy business.",Walgreens store closure location
8f94b86cbb762a58fd,Walgreens,,,,,,"Walgreens to close Chatham store, citing theft and violence",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fchicago.suntimes.com%2fmoney%2f2026%2f05%2f04%2fwalgreens-close-chatham-store-theft-violence&c=9786869387699307050&mkt=en-us,www.bing.com,bing_rss,2026-05-04T16:37:00+00:00,2026-06-16T21:17:54+00:00,0.90,"Walgreens to close Chatham store, citing theft and violence The Deerfield-based company has closed several South and West side locations over the last year, contributing to a pharmacy desert in the area.",Walgreens store closure location
7f9dfee3f2161e434a,Walgreens,,,,,,Walgreens closing Chatham store as officials warn of pharmacy deserts,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2fwalgreens-closing-chatham-as-officials-warn-of-pharmacy-deserts%2far-AA24PoKJ&c=11146585358043657096&mkt=en-us,www.bing.com,bing_rss,2026-06-04T15:28:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens closing Chatham store as officials warn of pharmacy deserts Walgreens is set to close in Chicago's Chatham neighborhood on Thursday, and there's growing concern about where families will get their medications.",Walgreens store closure location
7f596a7b521612ca31,Walgreens,,,,,,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2fwalgreens-to-close-chicago-store-after-losing-over-1m-due-to-rampant-theft-falling-sales%2far-AA22WnEv&c=17942911988166189995&mkt=en-us,www.bing.com,bing_rss,2026-05-11T11:25:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales Walgreens announced plans to close a Chicago South Side store next month, citing elevated theft levels and declining prescription sales as key factors.",Walgreens store closure location
35417a8b81dc19bcb3,Walgreens,,,,,,Local pharmacy chain steps in as Midtown Walgreens prepares to close,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2flocal-pharmacy-chain-steps-in-as-midtown-walgreens-prepares-to-close%2far-AA25dpGI&c=4811352347859923765&mkt=en-us,www.bing.com,bing_rss,2026-06-09T10:54:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Local pharmacy chain steps in as Midtown Walgreens prepares to close With the Midtown Walgreens at 27th Street and North Avenue set to close on June 23, Hayat Pharmacy is encouraging residents to transfer prescriptions to the local chain.",Walgreens store closure location
c9ee34e8c5b9eec300,Walgreens,,,,,,Walgreens to close St. Louis County store,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.bizjournals.com%2fstlouis%2fnews%2f2026%2f06%2f11%2fst-louis-county-walgreens-store-to-close.html&c=383589223251537787&mkt=en-us,www.bing.com,bing_rss,2026-06-11T15:35:00+00:00,2026-06-16T21:17:54+00:00,0.37,Walgreens to close St.,Walgreens store closure location
6b56ffea1e06a566f2,Walgreens,,,,,,Walgreens pharmacy on Cottage Grove in Chatham set to close Thursday,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2fwalgreens-pharmacy-on-cottage-grove-in-chatham-set-to-close-thursday%2far-AA24Wdjx&c=10363544050265138416&mkt=en-us,www.bing.com,bing_rss,2026-06-04T19:38:00+00:00,2026-06-16T21:17:54+00:00,0.37,Walgreens pharmacy on Cottage Grove in Chatham set to close Thursday The Walgreens at 86th Street and Cottage Grove Avenue in Chatham is set to close Thursday.,Walgreens store closure location
ebc9fa60b9a38b91b3,Walgreens,,,,,,Map Shows Where Walgreens Is Closing Locations,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.newsweek.com%2fmap-walgreens-pharmacy-closures-2111781&c=10891888385040947924&mkt=en-us,www.bing.com,bing_rss,2025-08-11T08:05:00+00:00,2026-06-16T21:17:54+00:00,0.90,"News Reporter Walgreens is pressing on with its ""Footprint Optimization Program"" and shuttering hundreds of locations in an effort to streamline operations and prioritize its core retail pharmacy business.",Walgreens closing stores
3f05546f3810822546,Walgreens,,,,,,Walgreens closing numerous stores amid 'challenging' retail environment,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.wptv.com%2fbusiness%2fcompany-news%2fwalgreens-closing-numerous-stores-amid-challenging-retail-environment&c=6863907681722574937&mkt=en-us,www.bing.com,bing_rss,2024-06-26T22:44:00+00:00,2026-06-16T21:17:54+00:00,0.49,"Walgreens closing numerous stores amid 'challenging' retail environment Walgreens, one of America's largest pharmacy chains, announced early Thursday plans to close numerous stores across the U.S.",Walgreens closing stores
90bd7efb4ebb4a6e65,Walgreens,,,,,,Walgreens closing Chatham store on Thursday,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.msn.com%2fen-us%2flifestyle%2fother%2fwalgreens-closing-chatham-store-on-thursday%2far-AA24PoKJ&c=16509589848633609248&mkt=en-us,www.bing.com,bing_rss,2026-06-04T03:52:21+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens closing Chatham store on Thursday Walgreens is set to close in Chicago's Chatham neighborhood on Thursday, and there's growing concern about where families will get their medications.",Walgreens closing stores
63e716e72e2f619092,Walgreens,,,,,,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2fwalgreens-to-close-chicago-store-after-losing-over-1m-due-to-rampant-theft-falling-sales%2far-AA22WnEv&c=17942911988166189995&mkt=en-us,www.bing.com,bing_rss,2026-05-11T11:25:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales Walgreens announced plans to close a Chicago South Side store next month, citing elevated theft levels and declining prescription sales as key factors.",Walgreens closing stores
9c3008ec1d4ab2f222,Walgreens,,,,,,"Walgreens to close Chatham store, citing theft and violence",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fchicago.suntimes.com%2fmoney%2f2026%2f05%2f04%2fwalgreens-close-chatham-store-theft-violence&c=9786869387699307050&mkt=en-us,www.bing.com,bing_rss,2026-05-04T16:37:00+00:00,2026-06-16T21:17:54+00:00,0.90,"Walgreens to close Chatham store, citing theft and violence The Deerfield-based company has closed several South and West side locations over the last year, contributing to a pharmacy desert in the area.",Walgreens closing stores
